식당명,주소1,주소2,위도,경도,행정동
포크파스타,대구 수성구 달구벌대로652길 11-4 2층,(지번) 신매동 156-4,35.83659843,128.7121237,고산1동
7번가피자 시지점,대구 수성구 달구벌대로 3188 112호,(지번) 신매동 567,35.84032058,128.7052157,고산1동
엘리펀트피자,대구 수성구 달구벌대로649길 6,(지번) 신매동 260,35.83871388,128.711855,고산3동
피자마루 대구신매점,대구 수성구 신매로 71 시지천마타운 상가102호,(지번) 신매동 579,35.83599217,128.7064474,고산1동
피자에땅 시지점,대구 수성구 달구벌대로650길 37 1층,(지번) 신매동 138-1,35.83520073,128.7098238,고산1동
제이키친2015,대구 수성구 달구벌대로652길 33,(지번) 신매동 102-4,35.83504263,128.710618,고산1동
와그스테이크시지본점,대구 수성구 신매로19길 46,(지번) 신매동 567-58,35.83948673,128.7072416,고산1동
몬테노,대구 수성구 달구벌대로647길 7 올리브카운티 A동 104호,(지번) 신매동 279-1,35.83975562,128.7103282,고산3동
임실치즈피자 신매점,대구 수성구 신매로4길 4-15 1층,(지번) 신매동 592-8,35.83165202,128.7077934,고산1동
라오니피자 시지점,대구 수성구 신매로 41 동서타운 106동 1층 108호,(지번) 신매동 594,35.83273964,128.7067122,고산1동
프리모피자 시지점,대구 수성구 고산로18길 21,(지번) 신매동 568-6,35.83896283,128.7066634,고산1동
두셰프의돈가스&마우 시지점,대구 수성구 고산로 104-2 2층,(지번) 신매동 567-62,35.83977648,128.7055451,고산1동
여운,대구 수성구 고산로4안길 4,(지번) 신매동 597-18,35.83266545,128.7038575,고산1동
청년피자 시지점,대구 수성구 신매로 3-1 1층,(지번) 신매동 603-7,35.83004535,128.706452,고산1동
아델나인점일,대구 수성구 신매로19길 34,(지번) 신매동 567-44,35.83933004,128.7078114,고산1동
남자의부엌,대구 수성구 유니버시아드로 312,(지번) 욱수동 388,35.82963424,128.7047519,고산1동
런던브릿지 시지직영점,대구 수성구 달구벌대로650길 101,(지번) 욱수동 227-13,35.82975293,128.7079677,고산1동
모넬로대구수성점,대구 수성구 달구벌대로 2811,(지번) 이천동 54-5,35.85028231,128.6674507,고산2동
임스쿡,대구 수성구 달구벌대로 2811,(지번) 이천동 54-5,35.85028231,128.6674507,고산2동
기프트버거,대구 수성구 수성로 192,(지번) 중동 176-1,35.8424984,128.612649,중동
논픽스,대구 수성구 청수로9길 3 1층,(지번) 중동 184-8,35.84108346,128.613891,중동
피넛브라운브런치카페,대구 수성구 수성로 214,(지번) 중동 100,35.84452922,128.6129748,중동
고릴라해산물 대구수성점,대구 수성구 수성로39안길 22,(지번) 중동 261-10,35.84430704,128.6118639,중동
파슷타애요 수성점,대구 수성구 수성로 214 백천빌딩 지하1층,(지번) 중동 100-2,35.84452922,128.6129748,중동
