식당명,주소1,주소2,위도,경도,행정동,,
두찜 대구만촌범어점,대구 수성구 동원로 52 1층,(지번) 만촌동 959-8,35.8635678,128.6396464,만촌2동,,
옛찜,대구 수성구 만촌로 94,(지번) 만촌동 660-20,35.86703431,128.6426389,만촌1동,,
표돈,대구 수성구 교학로2길 9,(지번) 만촌동 858-27,35.85463137,128.6523012,만촌3동,,
맛정돼지갈비,대구 수성구 국채보상로 1063,(지번) 만촌동 671-40,35.86805164,128.6456838,만촌1동,,
대해생고기,대구 수성구 만촌로 99 1층,(지번) 만촌동 426-22,35.8674791,128.6420533,만촌1동,,
날마다좋은집,대구 수성구 화랑로 40,(지번) 만촌동 413-1,35.86964376,128.6327108,만촌1동,,
미세스박생고기,대구 수성구 만촌로 112 1층,(지번) 만촌동 658-27,35.86861628,128.6419324,만촌1동,,
갈매기먹짱&갈비한판 만촌점,대구 수성구 만촌로 164,(지번) 만촌동 1330-37,35.87314036,128.6406846,만촌1동,,
영화 찜갈비전문점,대구 수성구 교학로2길 51,(지번) 만촌동 855-1,35.85570717,128.6503526,만촌3동,,
깍뚝숯불구이,대구 수성구 달구벌대로522길 15 1층 101호,(지번) 만촌동 849-17,35.85720944,128.6479645,만촌3동,,
싸움의고수 대구수성점,대구 수성구 달구벌대로526안길 10,(지번) 만촌동 852-19,35.85629173,128.64929,만촌3동,,
대한민국삼겹살,대구 수성구 달구벌대로522길 15-20,(지번) 만촌동 850-2,35.85668735,128.6485537,만촌3동,,
55온족발 만촌점,대구 수성구 교학로 36,(지번) 만촌동 863-7,35.85200417,128.6519362,만촌3동,,
마시정,대구 수성구 만촌로 166 1층,(지번) 만촌동 1330-24,35.87332301,128.6406395,만촌1동,,
착한대박 만촌점,대구 수성구 화랑로 68,(지번) 만촌동 1325-60,35.87144666,128.6346254,만촌1동,,
차율뭉툭생고기,대구 수성구 화랑로2길 105,(지번) 만촌동 1341,35.8682861,128.6367499,만촌1동,,
새안심한우식육식당,대구 수성구 국채보상로 983,(지번) 만촌동 425-4,35.86694023,128.6381922,만촌1동,,
수라생고기,대구 수성구 만촌로 2,(지번) 만촌동 997-6,35.86014217,128.6463494,만촌2동,,
달구벌본가생막창,대구 수성구 만촌로 166,(지번) 만촌동 1330-24,35.87332301,128.6406395,만촌1동,,
옛맛삼겹살,대구 수성구 만촌로 12-1,(지번) 만촌동 998-21,35.86055302,128.6455255,만촌2동,,
맛있는막창,대구 수성구 달구벌대로536길 11,(지번) 만촌동 861-4,35.85394365,128.6543023,만촌3동,,
본동갈비,대구 수성구 효행로2길 80,(지번) 만촌동 342-11,35.87492929,128.6499857,만촌1동,,
삼순이숯불갈비 만촌점,대구 수성구 교학로4길 3 1층,(지번) 만촌동 857-56,35.85406327,128.6522243,만촌3동,,
흥부,대구 수성구 만촌로 75,(지번) 만촌동 965-6,35.86545831,128.6431467,만촌2동,,
돈뼈락,대구 수성구 동원로28길 15 1층,(지번) 만촌동 1326-32,35.87188102,128.6366493,만촌1동,,
날마다왕족발보쌈,대구 수성구 만촌로 161,(지번) 만촌동 1329-19,35.87291974,128.640112,만촌1동,,
