식당명,주소1,주소2,위도,경도,행정동
대구반야월막창 대구노변점,대구 수성구 노변로 69,(지번) 노변동 264-1,35.83775933,128.6999034,고산2동
어우동,대구 수성구 노변로 71,(지번) 노변동 265-1,35.83789153,128.6999472,고산2동
대가식당,대구 수성구 노변공원로 87-2,(지번) 노변동 448,35.83430272,128.6985681,고산2동
신사동 아구해물찜,대구 수성구 노변로 109,(지번) 노변동 12-1,35.84115192,128.7011568,고산2동
고향추어탕,대구 수성구 노변공원로3길 9,(지번) 노변동 12-4,35.84054651,128.7000385,고산2동
시지싱싱돌가자미,대구 수성구 고산로 65,(지번) 노변동 71-22,35.83662829,128.7037538,고산2동
동해바다,대구 수성구 노변로 11,(지번) 노변동 440,35.83296622,128.6985452,고산2동
함바식당,대구 수성구 노변공원로 85,(지번) 노변동 452-2,35.8346485,128.6984272,고산2동
서민식당,대구 수성구 노변로 103,(지번) 노변동 13-11,35.84066465,128.7008274,고산2동
까꾸리웰빙손칼국수,대구 수성구 월드컵로5길 17,(지번) 대흥동 424,35.83205734,128.6828094,고산2동
국밥한그릇,대구 수성구 알파시티1로40길 11,(지번) 대흥동 834-3,35.8374959,128.682891,고산2동
대흥명가,대구 수성구 월드컵로6길 33,(지번) 대흥동 445-3,35.83017295,128.6843164,고산2동
전설의숯불고기,대구 수성구 유니버시아드로 140 지하1층,(지번) 대흥동 504,35.83166022,128.687326,고산2동
장금이한식뷔페,대구 수성구 알파시티1로 30,(지번) 대흥동 873,35.83970809,128.6889087,고산2동
비젼한국인의밥상,대구 수성구 알파시티1로42길 17 1층 112,(지번) 대흥동 833-1,35.8376978,128.6837239,고산2동
비빔락 스타디움점,대구 수성구 유니버시아드로 140,(지번) 대흥동 504,35.83166022,128.687326,고산2동
해오리,대구 수성구 월드컵로5길 17,(지번) 대흥동 331-3,35.83205734,128.6828094,고산2동
행복밥상,대구 수성구 유니버시아드로 140,(지번) 대흥동 504,35.83166022,128.687326,고산2동
명동손국수,대구 수성구 유니버시아드로 140 1층,(지번) 대흥동 504,35.83166022,128.687326,고산2동
한식명가,대구 수성구 유니버시아드로 140,(지번) 대흥동 504,35.83166022,128.687326,고산2동
부&닭,대구 수성구 유니버시아드로 140,(지번) 대흥동 504,35.83166022,128.687326,고산2동
두여자노가리,대구 수성구 유니버시아드로 140,(지번) 대흥동 504,35.83166022,128.687326,고산2동
신마리오,대구 수성구 유니버시아드로 140 대구스타이움몰,(지번) 대흥동 504,35.83166022,128.687326,고산2동
참한차림한식뷔페,대구 수성구 알파시티1로42길 30 1층,(지번) 대흥동 831-4,35.83787828,128.6825031,고산2동
서민갈비,대구 수성구 들안로 8-5,(지번) 두산동 172-12,35.83067446,128.6173065,두산동
아리조나막창,대구 수성구 용학로25길 45,(지번) 두산동 698,35.82574011,128.6247578,두산동
녹양구이,대구 수성구 무학로17길 21,(지번) 두산동 174-2,35.83032785,128.6176703,두산동
마루막창 수성점,대구 수성구 수성못2길 5,(지번) 두산동 684,35.82559509,128.6223787,두산동
양곱화,대구 수성구 들안로 80,(지번) 두산동 35-1,35.8370437,128.6171368,두산동
남도명가,대구 수성구 들안로 40,(지번) 두산동 152-1,35.83329746,128.6172909,두산동
면장수 수성본점,대구 수성구 무학로 105,(지번) 두산동 177-9,35.83031841,128.6200767,두산동
미남장어 수성점,대구 수성구 들안로 56,(지번) 두산동 138-11,35.8347023,128.617073,두산동
제형면옥 수성본점,대구 수성구 들안로 104,(지번) 두산동 3-3,35.83906697,128.6171352,두산동
울릉도,대구 수성구 청수로 96,(지번) 두산동 9,35.83980544,128.6186417,두산동
호남정,대구 수성구 들안로 24,(지번) 두산동 153-3,35.83201837,128.6170167,두산동
금수강산해물탕찜,대구 수성구 들안로 60,(지번) 두산동 71-8,35.8352934,128.6171842,두산동
숨쉬는순두부 들안길점,대구 수성구 들안로 44,(지번) 두산동 138-2,35.83371087,128.6171658,두산동
청통한우식육식당 두산점,대구 수성구 무학로21길 56,(지번) 두산동 187,35.83255847,128.6210195,두산동
아사다라,대구 수성구 용학로 116-12,(지번) 두산동 849-2,35.82394711,128.6209873,두산동
싱싱뽈락회,대구 수성구 수성못2길 17,(지번) 두산동 691-1,35.82544282,128.6232507,두산동
우각정,대구 수성구 용학로 111,(지번) 두산동 837-1,35.8252817,128.6219428,두산동
미풍해장국 대구본점,대구 수성구 용학로 128,(지번) 두산동 803-2,35.82411448,128.6231147,두산동
동원연탄석쇠구이 황금본점,대구 수성구 청수로24길 20,(지번) 두산동 19-17,35.83910921,128.6211024,두산동
교동면옥 대구수성못점,대구 수성구 지범로 33 1층,(지번) 두산동 721,35.82761394,128.6252982,두산동
경복궁 대구점,대구 수성구 용학로 134 A동 2층,(지번) 두산동 793,35.82346702,128.6233275,두산동
만반,대구 수성구 들안로 32,(지번) 두산동 152-6,35.83263152,128.617243,두산동
카페동이,대구 수성구 동대구로 95 SK리더스뷰상가 108동 1층 607호,(지번) 두산동 113,35.83791331,128.6226837,두산동
조돌해녀 수성직영점,대구 수성구 수성못2길 36 1층,(지번) 두산동 707,35.82621784,128.6243154,두산동
강릉엄지네꼬막집 대구수성점,대구 수성구 동대구로 47 1층,(지번) 두산동 120-2,35.83458218,128.6229876,두산동
풍국면 들안길점,대구 수성구 무학로 93,(지번) 두산동 177-2,35.83018826,128.6188148,두산동
최고산면옥,대구 수성구 무학로 125-11,(지번) 두산동 204-4,35.83084207,128.6222071,두산동
곽옥자삼대곰탕,대구 수성구 들안로 64,(지번) 두산동 70-1,35.83557414,128.6172286,두산동
푸주옥,대구 수성구 청수로 110,(지번) 두산동 14,35.8396813,128.6200901,두산동
대구신쭈꾸미,대구 수성구 청수로 118,(지번) 두산동 16,35.83974618,128.620919,두산동
서화순간바지,대구 수성구 청수로 102,(지번) 두산동 12-1,35.83974184,128.6192224,두산동
히바치,대구 수성구 동대구로 31 루지움빌딩 9층 309호,(지번) 두산동 198,35.83313554,128.6228833,두산동
참한상쭈꾸미,대구 수성구 용학로 106-7 수성호텔 별관 3층,(지번) 두산동 888-2,35.82409684,128.6184092,두산동
전원숯불,대구 수성구 용학로 129,(지번) 두산동 778,35.82432492,128.6235869,두산동
참우양곱창 수성점,대구 수성구 수성못2길 46,(지번) 두산동 681,35.82705363,128.6240433,두산동
돈N돈,대구 수성구 무학로23길 47,(지번) 두산동 192-3,35.83230054,128.6216887,두산동
바르미명품한우센터,대구 수성구 무학로 78 2층,(지번) 두산동 522-1,35.8291364,128.6174264,두산동
방어진 참가자미,대구 수성구 수성못2길 35 1층,(지번) 두산동 706-1,35.82608045,128.6239992,두산동
망향비빔국수 대구수성점,대구 수성구 무학로 89,(지번) 두산동 175-5,35.83019014,128.618321,두산동
감동애,대구 수성구 지범로 12,(지번) 두산동 614-1,35.8287983,128.62357,두산동
수성아일랜드 한우명품관,대구 수성구 지범로 33 2층,(지번) 두산동 721,35.82761394,128.6252982,두산동
개정 수성못점,대구 수성구 수성못2길 3 2층,(지번) 두산동 663,35.82588653,128.6223375,두산동
신참아나고,대구 수성구 지산로3길 133,(지번) 두산동 744-18,35.82525484,128.6253776,두산동
산아래,대구 수성구 용학로 132,(지번) 두산동 800,35.82392903,128.623328,두산동
충무로양곱창,대구 수성구 들안로 92,(지번) 두산동 36-2,35.83802434,128.6173097,두산동
동성로쭈꾸미 수성못점,대구 수성구 수성못2길 37-5,(지번) 두산동 706-2,35.82598897,128.6234604,두산동
현풍닭칼국수 황금네거리점,대구 수성구 동대구로 95 108동 1107호,(지번) 두산동 113,35.83791331,128.6226837,두산동
의성남선옥식육식당,대구 수성구 들안로 94-1,(지번) 두산동 36-4,35.83826663,128.6172579,두산동
우야지막창 황금점,대구 수성구 청수로24길 7,(지번) 두산동 93-1,35.83953642,128.6214646,두산동
인사동한정식,대구 수성구 청수로24길 36-1,(지번) 두산동 19-15,35.83834265,128.6209317,두산동
아주특별한해장국,대구 수성구 용학로 145,(지번) 두산동 745-9,35.82368744,128.6249672,두산동
조선양곱창,대구 수성구 수성못2길 43,(지번) 두산동 670-3,35.8265162,128.6235292,두산동
형님동태,대구 수성구 들안로 100 1층,(지번) 두산동 3-5,35.83883378,128.6170391,두산동
오리학교,대구 수성구 용학로 68,(지번) 두산동 907,35.82599744,128.6171117,두산동
17길,대구 수성구 무학로17길 14-1 1층,(지번) 두산동 170-21,35.83064561,128.6185522,두산동
와촌식육식당 두산점,대구 수성구 무학로 154,(지번) 두산동 300,35.82992328,128.6253335,두산동
무파불,대구 수성구 무학로23길 87,(지번) 두산동 127-16,35.83409228,128.6218289,두산동
